IR0_cam,IR1_cam,IR2_cam,IR3_cam,IR0_meas,IR1_meas,IR2_meas,IR3_meas
5.46,0.96,27.99,15.93,819,957,205,263
5.01,0.69,26.63,15.82,819,957,205,263
5.01,0.69,26.63,15.82,902,959,209.5,263
5.01,0.69,26.63,15.82,901,958,209,263
5.01,0.69,26.63,15.82,901,958.5,209,263
5.22,0.81,27.26,16.24,901,958,209,263
5.33,0.88,27.59,16.46,864,957,205,262
5.46,0.96,27.99,15.93,864.5,957.5,205,262
5.01,0.69,26.63,15.82,865,958,206,263
4.83,0.58,26.09,15.46,940,959,210,262
5.01,0.69,26.63,15.82,940,959,210,262
7.17,0.69,24.46,15.82,758.5,956,211,273.5
4.7,1.51,29.21,11.71,758,956,211,274
4.63,1.54,28.96,11.58,723,953,197,242
4.63,1.54,28.96,11.58,723,953,197,242
8.21,3.95,25.71,15.21,603,946,198,265
4.31,0.27,24.54,14.43,603,946,198,265
4.21,0.2,24.22,14.22,956,962,209,278
4.21,0.21,24.24,14.23,956,962,209,278
4.22,0.21,24.26,14.24,956,962,209,278
4.22,0.21,24.27,14.25,878,961,214,289
6.24,0.22,22.29,14.27,878,961,214,289
8.23,2.21,20.25,12.23,582,958,225,313
8.25,0.22,20.29,14.27,582,958,225,313
6.22,0.21,22.25,14.24,716,960,219,300
4.54,0.41,17.72,14.88,716,960,219,300
13.03,0.53,2.64,30.07,377,962,954,172
13.06,0.49,2.58,29.82,377,962,954,172
13.07,0.49,2.59,29.84,384,962,953,172
11.89,0.58,2.7,30.34,384,962,953,171
11.89,0.58,2.7,30.34,388,962,949,171
10.89,0.63,2.77,30.64,388,962,949.5,171
11.89,0.58,2.7,30.34,388,962,950,171
13.03,0.53,2.64,30.07,390,963,951,171
13.06,0.49,2.58,29.82,390,963,951,171
13.04,0.48,2.58,29.8,390,963,951.5,171
13.04,0.48,2.58,29.8,390,963,952,171
12.92,0.44,2.52,29.56,390,963,952,171
12.71,0.37,2.43,29.16,390,964,953,171
12.71,0.37,2.43,29.16,390,964,953,171
13.06,0.49,2.58,29.82,390,964,953,171
13.04,0.48,2.58,29.8,411,963,941,170
13.04,0.48,2.58,29.8,411,963,941,170
13.12,0.53,2.64,30.05,411,963,941,170
14.33,0.49,0.49,29.82,411,963,941,170
15,2.52,0.44,27.48,328,959,964,177
11.43,0.66,4.97,21.11,328,959,964,177
19.03,8.39,3.89,8.73,198,690,955,434
16.01,8.57,3.78,10.97,204,745.5,920,377.5
16.01,8.57,3.78,10.97,204,746,920,377
22.69,4.37,6.41,10.48,204,746,920,377
16.68,8.43,8.25,13.87,272,398,495,313
8.73,19.11,6.65,10.81,272,398,496,313
7.04,10.13,14.75,17.32,477,348,229,238.5
7.04,10.13,14.75,17.32,477,348,229,239
7.04,10.13,14.75,17.32,890,780,209,218
7.04,10.13,14.75,17.32,890,781,209,218
1.75,4.09,19.36,24.39,958,946,252,179
7.15,9.93,14.92,19.38,528,592,262,180
6.67,10.93,14.16,20.97,528,592,262,180
9.29,11.81,11.81,17.28,356,465,282,190
9.29,11.81,11.81,17.28,357,465,281,190
19.03,4.55,10.75,10.75,357,465,281,190
15.73,2.81,15.73,13.58,247,952,314,245
15.88,2.87,14.95,13.71,247,952,314,245
13.71,2.87,14.95,13.71,269,950,307,248
11.49,11.49,5.01,20.14,269,950,307,248
6.64,8.72,8.72,21.16,516,594,506,207
6.7,8.79,8.79,21.29,516,594,506,207
8.79,8.79,6.7,21.29,516,594,506,207
8.66,8.66,6.6,21.06,446,598.5,632,211
