IR0_meas,IR1_meas,IR2_meas,IR3_meas,IR0_cam,IR1_cam,IR2_cam,IR3_cam
132,270,938,959,26.57,17.47,3.3,0.26
132,270,938,959,26.67,17.53,3.32,0.28
132,270,938,959,26.77,17.6,3.35,0.29
132,270,938,959,26.57,17.47,3.3,0.26
132,270,938,959,26.67,17.53,3.32,0.28
132,270,938,959,26.7,17.56,3.33,0.28
132,270,938,959,26.7,17.56,3.33,0.28
132,270,938,959,26.77,17.6,3.35,0.29
132,270,938,959,26.67,17.53,3.32,0.28
132,270,938,959,26.67,17.53,3.32,0.28
132,270,938,959,26.8,17.63,3.36,0.3
132,270,938,959,26.84,17.65,3.36,0.3
132,270,938,959,26.84,17.65,3.36,0.3
132,270,938,959,26.84,17.65,3.36,0.3
132,270,938,959,27.07,17.82,3.42,0.34
131,263,937,959,26.87,17.68,3.37,0.31
131,263,937,959,26.77,17.6,3.35,0.29
131,263,938,959,26.87,17.68,3.37,0.31
131,263,937,959,27.04,16.77,3.42,1.36
131,263,937,959,26.84,15.61,3.36,2.34
131,263,937,959,26.14,15.82,4.48,2.42
131,263,937,959,25.82,14.59,4.38,3.36
134,314,936,944,25.82,14.59,4.38,3.36
134,313,936,944,25.89,14.64,4.41,3.38
134,314,936,943,25.75,14.55,4.36,3.35
135,313,936,944,25.89,14.64,4.41,3.38
135,314,936,944,26.87,15.63,3.37,2.35
135,314,936,944,26.84,16.63,3.36,1.32
135,314,936,944,26.84,17.65,3.36,0.3
131,262,938,959,26.73,17.58,3.34,0.29
131,262,938,959,26.73,17.58,3.34,0.29
131,262,938,959,26.95,17.73,3.39,0.32
131,262,938,960,26.84,17.65,3.36,0.3
131,262,938,959,26.95,17.73,3.39,0.32
131,262,938,959,27.27,17.96,3.48,0.37
131,262,938,959,27.42,18.06,3.51,0.4
131,262,938,959,27.84,18.36,3.62,0.46
127,300,936,959,27.86,18.38,3.63,0.47
127,300,937,960,27.7,18.26,3.59,0.44
127,300,937,959,28.01,18.49,3.67,0.49
127,300,937,959,28.19,18.59,3.71,0.52
127,300,937,959,28.36,17.73,3.76,0.55
127,300,937,959,28.56,16.87,3.81,0.58
127,300,937,959,28.36,17.73,3.76,0.55
127,315,937,960,28.01,18.49,3.67,0.49
127,315,937,960,28.19,18.59,3.71,0.52
127,315,937,960,28.56,16.87,3.81,0.58
127,315,937,960,28.36,17.73,3.76,0.55
127,315,937,960,28.19,18.59,3.71,0.52
127,315,937,960,27.86,18.38,3.63,0.47
127,315,937,960,28.36,17.73,3.76,0.55
127,315,937,960,28.36,17.73,3.76,0.55
127,315,937,960,28.36,17.73,3.76,0.55
127,315,937,960,27.88,18.39,3.63,0.47
127,315,937,960,27.84,17.31,3.62,1.52
127,315,937,960,28.19,16.48,3.71,2.65
127,315,937,960,28.01,16.37,3.67,2.61
133,357,935,934,28.01,15.31,3.67,3.67
133,357,935,934,27.7,15.12,3.59,3.59
133,357,935,934,28.19,15.42,3.71,3.71
133,357,935,934,28.01,15.31,3.67,3.67
133,357,935,934,28.18,15.41,3.71,3.71
133,357,935,934,28.19,16.48,3.71,2.65
129,324,935,951,27.86,17.32,3.63,1.52
129,324,935,951,28.01,17.43,3.67,1.55
129,324,935,951,28.19,17.55,3.71,1.59
127,321,937,961,28.75,16.11,3.86,0.61
127,321,937,961,28.75,16.11,3.86,0.61
127,321,937,961,28.36,17.73,3.76,0.55
127,321,937,961,28.56,16.87,3.81,0.58
127,321,937,961,28.19,18.59,3.71,0.52
127,323,937,961,28.19,18.59,3.71,0.52
127,323,937,961,28.36,17.73,3.76,0.55
127,323,937,961,28.75,16.11,3.86,0.61
127,324,937,961,28.55,16.91,3.81,0.58
127,324,937,961,28.75,16.11,3.86,0.61
127,323,937,961,29.18,14.73,3.97,0.68
127,323,937,961,29.92,12.97,4.16,0.8
129,458,934,953,30.16,12.51,4.22,0.84
129,459,935,953,31.32,10.79,4.52,1.03
129,459,934,953,30.96,11.24,4.43,0.97
129,459,934,953,30.72,11.59,4.37,0.93
129,458,935,953,31.41,10.69,4.54,1.04
129,458,935,953,32.81,9.33,4.03,1.27
129,458,935,953,32.51,8.77,3.68,1.39
129,458,935,953,32.51,8.77,3.68,1.39
140,650,939,942,30.76,8.13,3.28,1.56
140,650,939,942,32.51,8.77,3.68,1.39
140,650,939,942,32.51,8.77,3.68,1.39
140,650,939,942,31.14,8.27,3.37,1.52
140,650,939,942,31.37,8.98,5.03,2.57
140,650,939,942,31.37,8.98,5.03,2.57
140,650,939,942,32.29,9.33,4.91,2.48
142,684,935,869,30.82,8.77,5.1,2.63
142,684,935,869,29.95,8.44,5.13,2.73
142,684,935,870,29.65,8.98,5.03,3.8
142,684,935,870,29.65,7.26,3.8,3.8
142,684,935,870,28.23,7.37,3.76,4.98
142,684,935,870,27.42,7.07,3.87,5.1
153,815,930,517,26.99,7.56,3.69,6.12
153,815,930,517,26.99,7.56,3.69,6.12
153,815,930,517,26.99,7.56,3.69,6.12
153,816,930,517,26.49,7.37,3.76,6.2
153,816,929,518,29.62,14.19,2.73,2.73
153,816,929,518,27.24,16.23,2.21,1.21
153,816,929,518,27.2,17.2,2.2,0.2
153,816,929,518,27.2,17.2,2.2,0.2
137,298,943,958,27.22,17.21,2.2,0.2
137,298,943,958,27.22,17.21,2.2,0.2
137,298,943,958,27.22,17.21,2.2,0.2
137,298,943,958,27.22,17.21,2.2,0.2
137,298,943,958,27.22,16.21,2.2,1.2
137,298,943,958,26.24,15.23,3.21,2.21
137,298,943,958,26.21,14.21,3.2,3.2
141,352,941,947,26.2,14.2,3.2,3.2
141,351,941,947,26.2,14.2,3.2,3.2
141,351,941,947,26.21,14.2,3.2,3.2
141,351,941,947,26.21,14.2,3.2,3.2
